adult,movie_id,original_language,popularity,revenue,runtime,status,title,vote_average,vote_count,genre,lang,company_name,movie_country,release_year
False,1139566,es,138.515,0,105,Released,Through My Window 3: Looking at You,6.96,573,Romance,Spanish,Nostromo Pictures,ES,2024
False,585,en,138.426,579700000,92,Released,"Monsters, Inc.",7.843,18577,Animation,English,Pixar,US,2001
False,1288998,es,138.304,0,81,Released,1978,6.2,7,Horror,Spanish,Black Mandala Films,AR,2024
False,1047373,en,137.502,209307,99,Released,The Silent Hour,6.6,146,Crime,English,AGC Studios,US,2024
False,437342,en,137.499,53992802,119,Released,The First Omen,6.9,992,Horror,English,Phantom Four,US,2024
False,1151949,id,137.457,0,145,Released,The Shadow Strays,7.3,209,Action,English,Frontier Pictures,ID,2024
False,122917,en,137.258,956019788,144,Released,The Hobbit: The Battle of the Five Armies,7.326,14385,Action,English,Warner Bros. Pictures,NZ,2014
False,673,en,137.254,789804554,141,Released,Harry Potter and the Prisoner of Azkaban,8.014,21786,Adventure,English,Warner Bros. Pictures,GB,2004
False,14836,en,137.2,185860104,100,Released,Coraline,7.891,8191,Animation,English,Laika,US,2009
False,412656,en,136.861,26508132,109,Released,Chaos Walking,6.593,2304,Fantasy,English,Quadrant Pictures,US,2021
False,48650,es,136.546,844281,109,Released,Room in Rome,6.4,735,Drama,Basque,Morena Films,ES,2010
False,1066262,en,136.464,692018,119,Released,The Convert,6.2,112,Action,English,Jump Film and Television,AU,2024
False,537915,en,136.168,69497587,106,Released,After,7.124,8270,Romance,English,CalMaple Films,US,2019
False,1096197,en,135.812,0,90,Released,No Way Up,6.335,983,Thriller,English,Altitude Film Entertainment,GB,2024
False,27205,en,135.683,825532764,148,Released,Inception,8.369,36930,Action,English,Legendary Pictures,US,2010
False,923667,cn,135.645,95399186,125,Released,Twilight of the Warriors: Walled In,7.0,295,Action,Cantonese,Entertaining Power,HK,2024
False,746036,en,135.39,181073291,127,Released,The Fall Guy,7.071,2677,Action,English,87North Productions,US,2024
False,1329336,en,135.027,0,25,Released,The Bad Guys: Haunted Heist,6.9,108,Animation,English,DreamWorks Animation Television,US,2024
False,106646,en,134.621,392000000,180,Released,The Wolf of Wall Street,8.0,24223,Crime,English,Red Granite Pictures,US,2013
False,1072790,en,134.053,214891370,103,Released,Anyone But You,6.92,2371,Romance,English,Olive Bridge Entertainment,US,2023
False,12444,en,133.88,954305868,146,Released,Harry Potter and the Deathly Hallows: Part 1,7.746,19227,Adventure,English,Warner Bros. Pictures,GB,2010
False,1147400,fr,133.862,0,48,Released,"Miraculous World: Paris, Tales of Shadybug and Claw Noir",7.246,552,Animation,French,Zagtoon,FR,2023
