adult,movie_id,original_language,popularity,revenue,runtime,status,title,vote_average,vote_count,genre,lang,company_name,movie_country,release_year
False,11845,en,235.999,2672527,119,Released,Intimacy,6.3,511,Romance,English,ARTE France Cinéma,FR,2001
False,693134,en,235.724,714444358,167,Released,Dune: Part Two,8.15,6122,Science Fiction,English,Legendary Pictures,US,2024
False,592983,en,231.26,0,111,Released,Spellbound,6.8,210,Animation,English,Skydance Media,US,2024
False,748783,en,230.509,254907482,101,Released,The Garfield Movie,7.1,1180,Animation,English,Alcon Entertainment,US,2024
False,299536,en,230.423,2052415039,149,Released,Avengers: Infinity War,8.2,30072,Adventure,English,Marvel Studios,US,2018
False,840705,en,230.229,46393906,102,Released,Blink Twice,6.697,1105,Mystery,English,Metro-Goldwyn-Mayer,US,2024
False,653346,en,228.67,397378150,145,Released,Kingdom of the Planet of the Apes,7.101,3496,Science Fiction,English,20th Century Studios,US,2024
False,671,en,226.898,976475550,152,Released,Harry Potter and the Philosopher's Stone,7.905,27796,Adventure,English,Warner Bros. Pictures,GB,2001
False,51482,ja,224.649,0,131,Released,Death Note Relight 1: Visions of a God,8.1,318,TV Movie,Japanese,Madhouse,JP,2007
False,995803,en,224.325,0,96,Released,Arena Wars,5.131,42,Action,English,Mahal Empire,US,2024
False,1059128,en,224.032,3865730,136,Released,Queer,7.2,135,Drama,English,Fremantle,US,2024
False,922806,ja,215.704,0,15,Released,Sorairo Utility,4.7,3,Animation,Japanese,Yostar Pictures,JP,2021
False,1084863,fr,214.839,864825,111,Released,The Soul Eater,6.1,120,Thriller,French,Phase 4 Productions,BE,2024
False,98,en,214.268,465361176,155,Released,Gladiator,8.218,19262,Action,English,Universal Pictures,US,2000
False,762441,en,214.249,261786322,99,Released,A Quiet Place: Day One,6.8,2450,Horror,English,Paramount Pictures,US,2024
False,85,en,214.115,389925971,115,Released,Raiders of the Lost Ark,7.9,12543,Adventure,English,Paramount Pictures,US,1981
False,153104,en,213.615,0,93,Released,Wicked Minds,6.461,38,Mystery,English,Hearst Entertainment Productions,CA,2003
False,1371727,en,208.76,0,11,Released,Sing: Thriller,7.18,147,Animation,English,Illumination,US,2024
False,420818,en,208.272,1662020819,118,Released,The Lion King,7.112,10169,Adventure,English,Walt Disney Pictures,US,2019
False,429,it,208.201,38900000,161,Released,"The Good, the Bad and the Ugly",8.5,8756,Western,Italian,United Artists,IT,1966
False,1216191,en,208.063,1699044,98,Released,Oddity,6.709,349,Horror,English,Keeper Pictures,IE,2024
False,940551,en,207.451,298776052,83,Released,Migration,7.425,1899,Animation,English,Universal Pictures,US,2023
False,866398,en,206.294,152720535,105,Released,The Beekeeper,7.3,3306,Crime,English,Miramax,US,2024
False,592695,sv,205.418,393824,108,Released,Pleasure,6.2,581,Drama,English,Film i Väst,SE,2021
False,942890,en,205.26,0,88,Released,House of Darkness,5.1,112,Horror,English,SSS Entertainment,US,2022
False,1016848,en,203.345,3165361,95,Released,The Front Room,5.2,70,Horror,English,A24,US,2024
False,726139,ko,197.615,6283415,96,Released,Project Silence,7.0,305,Thriller,English,Blaad Studios,KR,2024
False,639720,en,197.51,190309707,104,Released,IF,7.1,1223,Comedy,English,Paramount Pictures,US,2024
False,786892,en,196.592,173775791,149,Released,Furiosa: A Mad Max Saga,7.506,3807,Action,English,Warner Bros. Pictures,AU,2024
False,1126166,en,196.565,12000000,91,Released,Flight Risk,5.6,27,Thriller,English,Davis Entertainment,US,2025
