adult,backdrop_path,belongs_to_collection,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,status,tagline,title,video,vote_average,vote_count
False,/3nYlM34QhzdtAvWRV5bN4nLtnTc.jpg,Jaws Collection,7000000,https://www.uphe.com/movies/jaws,578,tt0073195,en,Jaws,"When the seaside community of Amity finds itself under attack by a dangerous great white shark, the town's chief of police, a young marine biologist, and a grizzled hunter embark on a desperate quest to destroy the beast before it strikes again.",70.697,/lxM6kqilAdpdhqUl2biYp5frUxE.jpg,1975-06-20,470653000,124,Released,The terrifying motion picture from the terrifying No.1 best seller.,Jaws,False,7.7,10567
False,/HmEXofYSc56wBHIqY6tJDroCSw.jpg,Maleficent Collection,185000000,https://movies.disney.com/maleficent-mistress-of-evil,420809,tt4777008,en,Maleficent: Mistress of Evil,"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.",70.693,/vloNTScJ3w7jwNwtNGoG8DbTThv.jpg,2019-10-16,491730089,119,Released,Go beyond the fairy tale,Maleficent: Mistress of Evil,False,7.303,6147
False,/s7MXg9Srra1aptzaTkvtnHVYSF8.jpg,False,0,,19173,tt1111890,es,Diario de una ninfómana,"A chronicle of the life of a middle-class French girl's sexual adventures, her then fall into prostitution, and her ultimate redemption.",70.656,/yVYTeiFv7oQsSQF9OBRngg7ZqLg.jpg,2008-10-17,0,102,Released,,Diary of a Nymphomaniac,False,5.623,318
False,/16aJtXO6lObbBUr11IvkjB1QD1f.jpg,Fifty Shades Collection,55000000,http://www.fiftyshadesmovie.com/,341174,tt4465564,en,Fifty Shades Darker,"When a wounded Christian Grey tries to entice a cautious Ana Steele back into his life, she demands a new arrangement before she will give him another chance. As the two begin to build trust and find stability, shadowy figures from Christian’s past start to circle the couple, determined to destroy their hopes for a future together.",70.649,/7CBO9GhsUeMSsWQb47WTPZnKjdj.jpg,2017-02-08,381545846,118,Released,Every fairy tale has a dark side.,Fifty Shades Darker,False,6.483,7637
False,/r8Vk1PJ7eDwRKDZJOS4AKC7puK3.jpg,Garfield Collection,50000000,,8920,tt0356634,en,Garfield,"Garfield, the fat, lazy, lasagna lover, has everything a cat could want. But when Jon, in an effort to impress the Liz - the vet and an old high-school crush - adopts a dog named Odie and brings him home, Garfield gets the one thing he doesn't want. Competition.",70.641,/vqwTSWNLyH55g8kBT61s2DgNYEp.jpg,2004-06-10,200800000,80,Released,Get ready for frisky business.,Garfield,False,5.715,4023
False,/1R6cvRtZgsYCkh8UFuWFN33xBP4.jpg,Extraction Collection,65000000,https://www.netflix.com/title/80230399,545609,tt8936646,en,Extraction,A hardened gun-for-hire's latest mission becomes a soul-searching race to survive when he's sent into Bangladesh to rescue a drug lord's kidnapped son.,70.574,/nygOUcBKPHFTbxsYRFZVePqgPK6.jpg,2020-04-23,0,116,Released,"When the mission ends, redemption begins",Extraction,False,7.318,6112
False,/dbrLfmFNFEJWv8rLnjpgCKlXWSy.jpg,Ready Player One Collection,175000000,http://readyplayeronemovie.com,333339,tt1677720,en,Ready Player One,"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",70.54,/pU1ULUq8D3iRxl1fdX2lZIzdHuI.jpg,2018-03-28,607274134,140,Released,A better reality awaits.,Ready Player One,False,7.593,15753
False,/zi2oYYNSSv7t44iSt5YrxHX9PYs.jpg,False,4000000,http://a24films.com/films/witch/,310131,tt4263482,en,The Witch,"In 1630, a farmer relocates his family to a remote plot of land on the edge of a forest where strange, unsettling things happen. With suspicion and paranoia mounting, each family member's faith, loyalty and love are tested in shocking ways.",70.529,/zap5hpFCWSvdWSuPGAQyjUv2wAC.jpg,2016-02-19,40423945,92,Released,Evil takes many forms.,The Witch,False,7.0,7040
False,/uT5G4fA7jKxlJNfwYPMm353f5AI.jpg,Kung Fu Panda Collection,145000000,http://www.kungfupanda.com/,140300,tt2267968,en,Kung Fu Panda 3,"While Po and his father are visiting a secret panda village, an evil spirit threatens all of China, forcing Po to form a ragtag army to fight back.",70.515,/oajNi4Su39WAByHI6EONu8G8HYn.jpg,2016-01-23,521170825,95,Released,Grab destiny by the rice dumplings.,Kung Fu Panda 3,False,6.9,6097
False,/2Y7nbXrDtHwAfcTX7KBN0z40OAy.jpg,Indiana Jones Collection,48000000,http://www.indianajones.com/crusade,89,tt0097576,en,Indiana Jones and the Last Crusade,"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!",70.484,/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg,1989-05-24,474171806,127,Released,"The man with the hat is back. And this time, he's bringing his Dad.",Indiana Jones and the Last Crusade,False,7.8,10211
False,/riKyo85CmJU48ZaSMLpuDNTZHuE.jpg,Wreck-It Ralph Collection,165000000,http://disney.go.com/wreck-it-ralph,82690,tt1772341,en,Wreck-It Ralph,"Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",70.413,/zWoIgZ7mgmPkaZjG0102BSKFIqQ.jpg,2012-11-01,471222889,101,Released,The story of a regular guy just looking for a little wreck-ognition.,Wreck-It Ralph,False,7.342,12362
False,/m2QvGozzKz5ux74gKocn4kFTGz1.jpg,Cruel Intentions Collection,10500000,https://www.CruelIntentions.com,796,tt0139134,en,Cruel Intentions,"Slaking a thirst for dangerous games, Kathryn challenges her stepbrother, Sebastian, to deflower their headmaster's daughter before the summer ends. If he succeeds, the prize is the chance to bed Kathryn. But if he loses, Kathryn will claim his most prized possession.",70.381,/76cCsRtQ5MJBAqoigojXsLXLJwh.jpg,1999-03-05,76347426,98,Released,"In the game of seduction, there is only one rule: Never fall in love.",Cruel Intentions,False,6.8,3286
False,/sy0vo1cmpKqwPRiMUiJ45jyLsX7.jpg,False,123000000,,8871,tt0170016,en,How the Grinch Stole Christmas,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,70.342,/52EpMoLTTbKAkM6rSrnNHV2mpLF.jpg,2000-11-17,345800000,104,Released,He puts the mean in green.,How the Grinch Stole Christmas,False,6.8,7659
False,/3ZIPowwUwwMb6kO2Sh89GLnoLw9.jpg,False,25000000,https://saturdaynight.movie,1120911,tt27657135,en,Saturday Night,"At 11:30pm on October 11, 1975, a ferocious troupe of young comedians and writers changed television forever. This is the story of what happened behind the scenes in the 90 minutes leading up to the first broadcast of Saturday Night Live.",70.321,/oCf5O6uxooTvRwKVnLHwGqZUifq.jpg,2024-09-27,9802525,109,Released,The revolution begins at 11:30.,Saturday Night,False,6.908,157
False,/ygTSl89OtmXY4ESMpEF7qZcpGR8.jpg,The Mummy Collection,80000000,http://www.mummyvideo.com/,564,tt0120616,en,The Mummy,Dashing legionnaire Rick O'Connell stumbles upon the hidden ruins of Hamunaptra while in the midst of a battle to claim the area in 1920s Egypt. It has been over three thousand years since former High Priest Imhotep suffered a fate worse than death as a punishment for a forbidden love—along with a curse that guarantees eternal doom upon the world if he is ever awoken.,70.294,/yhIsVvcUm7QxzLfT6HW2wLf5ajY.jpg,1999-04-16,415885488,124,Released,The sands will rise. The heavens will part. The power will be unleashed.,The Mummy,False,6.938,9149
False,/qjhcTGnjxYJqwBGlDzZkYWmne6e.jpg,To All the Boys Collection,0,https://www.netflix.com/title/81040397,614409,tt10676012,en,To All the Boys: Always and Forever,Senior year of high school takes center stage as Lara Jean returns from a family trip to Korea and considers her college plans — with and without Peter.,70.261,/iepqdM52f4w75fNcvgRF5QoIAjm.jpg,2021-02-12,0,115,Released,You never know where love will lead you.,To All the Boys: Always and Forever,False,7.536,1926
