movie_id,company_name,country
814889,HalleHolly,US
814889,Summit Entertainment,US
814889,Firstep,FR
449443,Atmosphere Entertainment MM,US
449443,Diamond Film Productions,US
449443,G-BASE,US
449443,Tucker Tooley Entertainment,US
449443,STXfilms,US
68828,Tatsunoko Production,JP
68828,Anime International Company,JP
502356,Universal Pictures,US
502356,Illumination,US
502356,Nintendo,JP
122,New Line Cinema,US
122,WingNut Films,NZ
122,The Saul Zaentz Company,US
1331375,Green Dog Films,US
1331375,Reigning Entertainment,US
1331375,Orlan Films,
1331375,Ágora Films,CO
1094274,A24,US
1094274,Strong Baby Productions,US
1094274,American Light & Fixture,US
938614,Spooky Pictures,US
938614,Future Pictures,AU
938614,Good Fiend Films,US
938614,VicScreen,AU
938614,AGC Studios,US
938614,Image Nation Abu Dhabi,AE
1129598,The Barnum Picture Company,US
1129598,Green Light Pictures,US
1129598,Lucky 13 Productions,US
1235913,Sony Pictures International Productions,US
1235913,Cahuenga Filmmakers,
1235913,El Estudio,ES
1029281,Miramax,US
1029281,Spooky Pictures,US
1208808,Sony Pictures International Productions,US
1208808,EFICINE 189,MX
672,Warner Bros. Pictures,US
672,Heyday Films,GB
672,1492 Pictures,US
672,MIRACLE Productions,DE
496243,Barunson E&A,KR
1084199,BoulderLight Pictures,US
1084199,New Line Cinema,US
1084199,Vertigo Entertainment,US
1084199,Subconscious,US
645757,Locksmith Animation,GB
645757,DNEG,GB
1114513,Blumhouse Productions,US
917496,Warner Bros. Pictures,US
917496,Geffen Pictures,US
917496,Plan B Entertainment,US
917496,Tim Burton Productions,US
917496,Tommy Harper Productions,US
917496,Domain Entertainment,US
82023,Von Fiessbach Film,DE
82023,teamWorx,DE
1014505,KADOKAWA,JP
1014505,Madhouse,JP
1014505,Bit grooove promotion,JP
1226578,C2 Motion Picture Group,US
1226578,Saturn Films,US
1226578,Oddfellows Entertainment,CA
1226578,Traffic.,US
1226578,Range Media Partners,US
335983,Matt Tolmach Productions,US
335983,Pascal Pictures,US
335983,Marvel Entertainment,US
335983,Tencent Pictures,CN
335983,Arad Productions,US
335983,Columbia Pictures,US
76600,20th Century Studios,US
76600,Lightstorm Entertainment,US
1175147,Star Original Productions,
1175147,RioFilme,BR
1175147,Agência Nacional do Cinema - ANCINE,BR
1175147,Star Distribution,
1262471,MD Pictures,ID
1262471,Dapur Film,ID
238,Paramount Pictures,US
238,Alfran Productions,US
361743,Skydance Media,US
361743,Don Simpson/Jerry Bruckheimer Films,US
361743,Paramount Pictures,US
155,DC,US
155,Legendary Pictures,US
155,Syncopy,GB
155,Isobel Griffiths,GB
155,Warner Bros. Pictures,US
24428,Marvel Studios,US
808,Pacific Data Images,US
808,DreamWorks Animation,US
808,DreamWorks Pictures,US
50270,San Francisco Film,IT
50270,Scena Film,IT
396535,Next Entertainment World,KR
396535,RedPeter Films,KR
718821,Universal Pictures,US
718821,Warner Bros. Pictures,US
718821,Amblin Entertainment,US
718821,Domain Entertainment,US
365177,Lionsgate,US
365177,Arad Productions,US
365177,Picturestart,US
365177,Gearbox Studios,US
365177,2K,US
365177,Hercules Film Fund,LU
975511,Picomedia,IT
975511,RAI Cinema,IT
975511,Redwave Films,GB
975511,Heretic,GR
975511,Kabo Films,FR
975511,Marvelous Productions,FR
975511,Bleecker Street,US
872585,Syncopy,GB
872585,Universal Pictures,US
872585,Atlas Entertainment,US
872585,Breakheart Films,US
872585,Peters Creek Entertainment,US
1061699,Tyler Perry Studios,US
1061699,Mandalay Pictures,US
1061699,Her Excellency Productions,US
1061699,Intuition Productions,US
1154304,4 Cats Pictures,ES
1154304,Atresmedia,ES
1154304,Core Animation,ES
8587,Walt Disney Pictures,US
8587,Walt Disney Feature Animation,US
315162,DreamWorks Animation,US
1159311,BONES,JP
1159311,TOHO,JP
121,New Line Cinema,US
121,WingNut Films,NZ
121,The Saul Zaentz Company,US
822119,Marvel Studios,US
822119,Kevin Feige Productions,US
516729,Marmalade Pictures,GB
516729,Kinoshita Group,JP
516729,StudioCanal,FR
516729,Stage 6 Films,US
588648,Movistar+,ES
588648,Atresmedia,ES
588648,China Film Animation,CN
588648,Guardián de Dragones AIE,
588648,Telefonica,
616446,Mad Chance,US
616446,Brolin Productions,US
616446,Legendary Pictures,US
616446,Estuary Films,US
662402,Archipel 33>35,FR
662402,Cinéfrance Studios,FR
662402,Dune Vision,FR
662402,House on Fire,FR
662402,House on Fire International,TW
662402,Red Lion,LU
1023915,NEON,US
1023915,Film4 Productions,GB
1023915,Double Agent,US
1023915,Lafcadia Productions,GB
1023915,Sheep Thief Films,GB
1124641,Film Bridge International,US
1124641,Great Point Media,GB
1124641,Filmology Finance,AU
845659,Constantin Film,DE
845659,JB Pictures,US
845659,Spark Productions,CH
969492,Broken Open Pictures,US
969492,Volition Media Partners,US
969492,Highland Film Group,US
969492,Hoodlum Entertainment,AU
969492,R.U. Robot Studios,CZ
969492,Moonbow,
969492,Gosdom Entertainment,US
969492,Short Porch Pictures,US
969492,The Avenue Entertainment,US
2062,Pixar,US
2062,Walt Disney Pictures,US
414906,6th & Idaho Motion Picture Company,US
414906,Dylan Clark Productions,US
414906,DC Films,US
414906,Warner Bros. Pictures,US
1079485,Jagged Edge Productions,GB
1079485,ITN Distribution,GB
1079485,Premiere Entertainment Group,US
1154223,Cheyenne Federation,FR
1154223,Amazon Studios France,FR
1154223,AMP Filmworks,CY
1221404,Shin-Ei Animation,JP
1221404,Futabasha,JP
1221404,Asatsu-DK,JP
1221404,TV Asahi,JP
1221404,TOHO,JP
674,Warner Bros. Pictures,US
674,Heyday Films,GB
674,Patalex IV Productions Limited,
438631,Legendary Pictures,US
19995,Dune Entertainment,US
19995,Lightstorm Entertainment,US
19995,20th Century Fox,US
19995,Ingenious Media,GB
575264,Paramount Pictures,US
575264,Skydance Media,US
575264,TC Productions,US
138843,Evergreen Media Group,
138843,New Line Cinema,US
138843,The Safran Company,US
507086,Amblin Entertainment,US
507086,Universal Pictures,US
370663,Serendipity Point Films,CA
862,Pixar,US
843527,Welle Entertainment,US
843527,Somewhere Pictures,US
843527,I'll Have Another,US
843527,Semi-Formal Productions,US
843527,Amazon MGM Studios,US
580489,Columbia Pictures,US
580489,Pascal Pictures,US
580489,Matt Tolmach Productions,US
580489,Arad Productions,US
926393,Columbia Pictures,US
926393,Eagle Pictures,IT
926393,Escape Artists,US
926393,ZHIV Productions,US
1389038,Disney Television Animation,US
1389038,ICON Creative Studio,CA
1389038,Wild Canary,US
22,Walt Disney Pictures,US
22,Jerry Bruckheimer Films,US
1087822,Dark Horse Entertainment,US
1087822,Millennium Media,US
1087822,Telepool,DE
1215162,Iervolino & Lady Bacardi Entertainment,IT
1215162,Rodin Entertainment,US
829560,Ekipa,PL
829560,Open Mind Production,PL
1328814,Ghost Box Productions,
974262,Suzanne Todd Productions,US
974262,Potato Monkey Productions,US
974262,GWave Productions,US
972614,Brookstreet Pictures,US
972614,TPC,US
972614,Sugar23,US
972614,FilmNation Entertainment,US
177572,Walt Disney Pictures,US
177572,Walt Disney Animation Studios,US
818647,Nostromo Pictures,ES
1139566,Nostromo Pictures,ES
1139566,Wattpad WEBTOON Studios,US
585,Pixar,US
